Date,Open,High,Low,Close,Adj Close,Volume
2009-11-19,2905.199951,2924.179932,2867.689941,2867.830078,2867.830078,22330200
2009-11-20,2867.159912,2892.820068,2856.590088,2875.919922,2875.919922,28244000
2009-11-23,2877.209961,2925.239990,2877.209961,2916.459961,2916.459961,18643200
2009-11-24,2916.459961,2920.899902,2882.659912,2882.739990,2882.739990,15723600
2009-11-25,2882.679932,2906.979980,2867.280029,2873.199951,2873.199951,26043200
2009-11-26,2871.939941,2884.260010,2785.899902,2791.699951,2791.699951,25525000
2009-11-27,2792.929932,2851.969971,2736.709961,2845.659912,2845.659912,15895400
2009-11-30,2845.659912,2845.659912,2804.830078,2807.590088,2807.590088,33621600
2009-12-01,2802.350098,2853.620117,2799.159912,2849.629883,2849.629883,33460200
2009-12-02,2847.870117,2896.239990,2847.870117,2886.370117,2886.370117,26185000
2009-12-03,2887.199951,2946.370117,2887.199951,2918.229980,2918.229980,32308200
2009-12-04,2916.530029,2987.239990,2889.010010,2987.239990,2987.239990,27761000
2009-12-07,2987.239990,2987.239990,2933.280029,2963.580078,2963.580078,81103000
2009-12-08,2962.879883,2962.879883,2869.870117,2872.370117,2872.370117,35884800
2009-12-09,2872.679932,2906.590088,2853.899902,2854.389893,2854.389893,63053000
2009-12-10,2852.560059,2889.169922,2852.560059,2875.320068,2875.320068,41672200
2009-12-11,2875.199951,2934.169922,2875.199951,2926.260010,2926.260010,29389000
2009-12-14,2927.090088,2968.530029,2913.750000,2929.219971,2929.219971,23001400
2009-12-15,2929.219971,2934.659912,2894.429932,2922.330078,2922.330078,120464200
2009-12-16,2923.219971,2929.879883,2898.989990,2915.879883,2915.879883,25654200
2009-12-17,2917.919922,2917.919922,2885.629883,2899.320068,2899.320068,26072400
2009-12-18,2900.689941,2948.719971,2885.120117,2927.189941,2927.189941,60550200
2009-12-21,2927.189941,2962.070068,2915.570068,2955.780029,2955.780029,26148200
2009-12-22,2958.070068,3051.260010,2958.070068,3032.379883,3032.379883,27184600
2009-12-23,3033.270020,3049.750000,2996.639893,3027.979980,3027.979980,33600800
2009-12-24,null,null,null,null,null,null
2009-12-29,2989.280029,3063.139893,2989.280029,3058.830078,3058.830078,7640600
2009-12-30,3059.250000,3059.250000,3003.959961,3011.949951,3011.949951,8586400
2009-12-31,null,null,null,null,null,null
2010-01-04,2974.929932,3097.760010,2974.929932,3097.760010,3097.760010,29905400
2010-01-05,3097.760010,3103.540039,3056.810059,3071.520020,3071.520020,30180200
2010-01-06,3072.070068,3095.790039,3057.530029,3087.929932,3087.929932,28578800
2010-01-07,3091.050049,3098.620117,3063.889893,3070.469971,3070.469971,27009200
2010-01-08,3070.469971,3112.850098,3070.469971,3080.750000,3080.750000,23558000
2010-01-11,3085.570068,3127.330078,3080.199951,3099.679932,3099.679932,24610800
2010-01-12,3099.679932,3099.679932,3043.459961,3053.969971,3053.969971,23783000
2010-01-13,3056.610107,3094.530029,3049.030029,3087.850098,3087.850098,31469800
2010-01-14,3089.030029,3124.750000,3089.030029,3110.850098,3110.850098,22545600
2010-01-15,3110.850098,3141.000000,3089.199951,3098.040039,3098.040039,19593600
2010-01-18,3097.030029,3110.189941,3090.939941,3108.169922,3108.169922,10865800
2010-01-19,3109.169922,3111.159912,3070.330078,3101.580078,3101.580078,21003800
2010-01-20,3101.580078,3112.820068,3057.840088,3087.530029,3087.530029,25971600
2010-01-21,3087.530029,3115.040039,3044.870117,3044.870117,3044.870117,22871600
2010-01-22,3044.689941,3055.639893,3004.250000,3036.939941,3036.939941,20164200
2010-01-25,3035.709961,3063.090088,3016.030029,3016.030029,3016.030029,21520600
2010-01-26,3016.030029,3027.270020,2987.370117,3016.530029,3016.530029,23038000
2010-01-27,3016.530029,3016.530029,2945.030029,2951.060059,2951.060059,20236400
2010-01-28,2958.389893,3013.729980,2948.100098,2948.129883,2948.129883,24193200
2010-01-29,2948.129883,2987.760010,2941.770020,2976.250000,2976.250000,23212800
2010-02-01,2976.250000,2994.179932,2966.919922,2981.469971,2981.469971,30954200
2010-02-02,2985.739990,3019.580078,2985.739990,3015.320068,3015.320068,40412200
2010-02-03,3016.649902,3048.899902,3016.649902,3025.250000,3025.250000,29620000
2010-02-04,3025.250000,3027.969971,2951.300049,2951.300049,2951.300049,28878800
2010-02-05,2951.300049,2956.580078,2877.310059,2890.110107,2890.110107,32732000
2010-02-08,2890.110107,2941.830078,2858.800049,2908.290039,2908.290039,19006600
2010-02-09,2908.290039,2914.110107,2880.860107,2884.280029,2884.280029,24260200
2010-02-10,2884.280029,2938.330078,2884.280029,2922.229980,2922.229980,26438000
2010-02-11,2921.000000,2944.199951,2890.909912,2896.129883,2896.129883,20893000
2010-02-12,2897.439941,2936.899902,2879.320068,2902.080078,2902.080078,20412600
2010-02-15,2902.500000,2918.330078,2848.669922,2862.709961,2862.709961,6521800
2010-02-16,2863.310059,2897.639893,2854.250000,2897.639893,2897.639893,14761800
2010-02-17,2896.840088,2952.570068,2896.840088,2952.570068,2952.570068,17323600
2010-02-18,2952.570068,2973.889893,2936.810059,2969.489990,2969.489990,14158200
2010-02-19,2972.580078,2972.580078,2923.409912,2967.419922,2967.419922,13931800
2010-02-22,2967.459961,2990.489990,2956.739990,2973.979980,2973.979980,16862600
2010-02-23,2973.979980,2996.030029,2950.310059,2950.310059,2950.310059,20904200
2010-02-24,2953.270020,2959.459961,2917.580078,2917.580078,2917.580078,37316600
2010-02-25,2917.580078,2939.260010,2873.199951,2873.199951,2873.199951,32560200
2010-02-26,2873.199951,2901.379883,2855.760010,2873.600098,2873.600098,29290400
2010-03-01,2875.459961,2903.699951,2868.580078,2898.179932,2898.179932,23587400
2010-03-02,2895.979980,2932.669922,2873.459961,2932.669922,2932.669922,26069400
2010-03-03,2932.669922,2940.750000,2918.219971,2940.030029,2940.030029,21505600
2010-03-04,2940.030029,2978.040039,2929.050049,2965.399902,2965.399902,39856800
2010-03-05,2962.899902,3015.620117,2955.139893,3011.239990,3011.239990,32869800
2010-03-08,3011.030029,3025.909912,3003.159912,3015.840088,3015.840088,20160000
2010-03-09,3014.949951,3026.649902,2977.800049,3008.729980,3008.729980,21892800
2010-03-10,2983.389893,3015.919922,2983.389893,3008.699951,3008.699951,29130800
2010-03-11,3009.169922,3036.570068,3001.449951,3023.729980,3023.729980,22975600
2010-03-12,3023.729980,3063.739990,3020.560059,3057.300049,3057.300049,30343000
2010-03-15,3057.300049,3057.300049,3015.429932,3024.919922,3024.919922,12036200
2010-03-16,3025.939941,3050.229980,3025.939941,3044.969971,3044.969971,16439800
2010-03-17,3044.270020,3127.600098,3044.270020,3122.679932,3122.679932,19562800
2010-03-18,3122.679932,3125.949951,3084.760010,3103.989990,3103.989990,35507600
2010-03-19,3105.520020,3151.679932,3102.899902,3123.489990,3123.489990,56248800
2010-03-22,3123.489990,3123.489990,3074.750000,3097.860107,3097.860107,22138800
2010-03-23,3097.860107,3158.830078,3097.189941,3158.830078,3158.830078,41918400
2010-03-24,3158.820068,3166.469971,3131.530029,3147.510010,3147.510010,51921400
2010-03-25,3147.510010,3209.350098,3122.850098,3202.139893,3202.139893,52688000
2010-03-26,3206.840088,3225.500000,3180.340088,3212.179932,3212.179932,45421400
2010-03-29,3212.179932,3212.179932,3147.629883,3157.610107,3157.610107,49062200
2010-03-30,3160.830078,3164.260010,3129.080078,3149.500000,3149.500000,39772600
2010-03-31,3148.860107,3196.909912,3143.209961,3177.770020,3177.770020,63372000
2010-04-01,3177.770020,3250.379883,3177.770020,3245.189941,3245.189941,36159400
2010-04-06,3245.189941,3292.189941,3245.189941,3292.189941,3292.189941,34379600
2010-04-07,3292.129883,3300.489990,3268.050049,3268.050049,3268.050049,38662400
2010-04-08,3268.050049,3275.510010,3235.260010,3275.510010,3275.510010,45225600
2010-04-09,3275.510010,3343.120117,3274.419922,3330.800049,3330.800049,73463000
2010-04-12,3329.110107,3350.590088,3311.320068,3332.979980,3332.979980,63513000
2010-04-13,3332.979980,3332.979980,3291.189941,3309.889893,3309.889893,58462800
2010-04-14,3307.879883,3355.689941,3307.879883,3355.689941,3355.689941,57556000
2010-04-15,3355.689941,3367.929932,3335.020020,3342.179932,3342.179932,71480200
2010-04-16,3343.320068,3379.000000,3309.280029,3337.689941,3337.689941,307593700
2010-04-19,3337.689941,3338.100098,3290.889893,3327.219971,3327.219971,46337200
2010-04-20,3327.219971,3379.169922,3327.219971,3370.379883,3370.379883,52987800
2010-04-21,3369.280029,3433.139893,3369.280029,3407.449951,3407.449951,61108600
2010-04-22,3407.449951,3419.909912,3357.989990,3364.939941,3364.939941,27637200
2010-04-23,3363.500000,3469.760010,3363.500000,3460.489990,3460.489990,119474900
2010-04-26,3460.489990,3497.169922,3439.830078,3497.169922,3497.169922,65112200
2010-04-27,3496.629883,3496.629883,3340.570068,3340.570068,3340.570068,90232800
2010-04-28,3340.300049,3340.300049,3257.020020,3257.020020,3257.020020,51105400
2010-04-29,3258.790039,3377.620117,3258.790039,3371.909912,3371.909912,29098200
2010-04-30,3371.909912,3441.370117,3370.070068,3397.000000,3397.000000,41291400
2010-05-04,3397.000000,3419.860107,3254.709961,3254.709961,3254.709961,37701000
2010-05-05,3259.739990,3265.929932,3168.550049,3187.530029,3187.530029,51580200
2010-05-06,3187.530029,3202.780029,3105.219971,3110.149902,3110.149902,36838600
2010-05-07,3116.429932,3116.429932,2957.699951,2982.709961,2982.709961,59406200
2010-05-10,2982.709961,3217.270020,2982.709961,3217.270020,3217.270020,51276200
2010-05-11,3214.120117,3214.120117,3134.510010,3175.820068,3175.820068,22575600
2010-05-12,3174.739990,3232.580078,3167.689941,3213.540039,3213.540039,32638200
2010-05-13,3213.540039,3252.070068,3206.179932,3218.719971,3218.719971,14231400
2010-05-14,3224.889893,3230.229980,3081.790039,3081.790039,3081.790039,34000200
2010-05-17,3078.600098,3093.770020,3051.110107,3055.129883,3055.129883,23990600
2010-05-18,3055.129883,3120.850098,3055.129883,3108.590088,3108.590088,17398200
2010-05-19,3112.030029,3112.030029,2978.939941,2978.939941,2978.939941,39187800
2010-05-20,2978.939941,3020.469971,2863.439941,2882.120117,2882.120117,86041600
2010-05-21,2882.120117,2898.090088,2811.370117,2887.830078,2887.830078,83628800
2010-05-24,2887.830078,2940.889893,2863.399902,2886.139893,2886.139893,68915400
2010-05-25,2848.229980,2863.379883,2738.379883,2776.550049,2776.550049,121547200
2010-05-26,2773.840088,2883.610107,2773.840088,2879.199951,2879.199951,104867100
2010-05-27,2866.629883,2990.600098,2866.629883,2990.600098,2990.600098,82061200
2010-05-28,2990.760010,3015.020020,2938.780029,2938.780029,2938.780029,71254400
2010-05-31,2940.239990,2969.070068,2919.350098,2947.699951,2947.699951,31461400
2010-06-01,2947.860107,2982.439941,2906.429932,2982.439941,2982.439941,85897000
2010-06-02,2981.290039,3000.949951,2938.340088,2991.860107,2991.860107,61129400
2010-06-03,2991.860107,3056.429932,2991.860107,3034.729980,3034.729980,117168300
2010-06-04,3034.010010,3092.689941,2983.239990,2983.429932,2983.429932,98371000
2010-06-08,2960.800049,3017.419922,2924.250000,2925.169922,2925.169922,65209400
2010-06-09,2925.169922,3017.169922,2925.169922,3017.169922,3017.169922,133877600
2010-06-10,3017.169922,3070.709961,2987.899902,3070.709961,3070.709961,33607400
2010-06-11,3070.709961,3070.709961,3013.050049,3048.219971,3048.219971,48929400
2010-06-14,3046.530029,3078.729980,3046.530029,3056.560059,3056.560059,287035000
2010-06-15,3058.689941,3089.449951,3026.219971,3089.449951,3089.449951,62385400
2010-06-16,3091.040039,3116.870117,3055.419922,3099.709961,3099.709961,37462600
2010-06-17,3100.010010,3128.060059,3084.949951,3103.239990,3103.239990,42343200
2010-06-18,3102.409912,3122.560059,3087.949951,3118.790039,3118.790039,82071200
2010-06-21,3118.790039,3167.540039,3117.159912,3121.739990,3121.739990,32986000
2010-06-22,3121.739990,3121.739990,3067.350098,3076.780029,3076.780029,33543000
2010-06-23,3076.780029,3076.780029,3001.820068,3001.820068,3001.820068,28671200
2010-06-24,3001.820068,3033.149902,2966.689941,2977.239990,2977.239990,27778400
2010-06-25,2977.239990,2989.120117,2940.419922,2945.969971,2945.969971,19368600
2010-06-28,2945.969971,2990.820068,2945.969971,2990.820068,2990.820068,20515200
2010-06-29,2994.389893,2994.389893,2877.679932,2877.679932,2877.679932,28657600
2010-06-30,2876.040039,2918.639893,2871.159912,2878.669922,2878.669922,38716600
2010-07-01,2878.129883,2878.129883,2793.169922,2796.550049,2796.550049,36493200
2010-07-02,2797.409912,2867.139893,2797.409912,2844.280029,2844.280029,37785600
2010-07-05,2844.280029,2864.639893,2826.489990,2827.989990,2827.989990,13630000
2010-07-06,2826.620117,2914.060059,2826.620117,2913.290039,2913.290039,36757400
2010-07-07,2914.820068,2914.820068,2791.850098,2848.100098,2848.100098,28907200
2010-07-08,2848.100098,2897.800049,2848.100098,2894.989990,2894.989990,38968400
2010-07-09,2894.989990,2920.110107,2875.169922,2884.229980,2884.229980,25803200
2010-07-12,2877.969971,2914.600098,2875.260010,2899.689941,2899.689941,22681800
2010-07-13,2901.100098,2971.530029,2901.100098,2948.449951,2948.449951,61850000
2010-07-14,2948.620117,2985.469971,2929.810059,2946.790039,2946.790039,20735600
2010-07-15,2945.709961,2949.969971,2891.030029,2891.030029,2891.030029,18044000
2010-07-16,2891.030029,2921.379883,2851.229980,2855.520020,2855.520020,24486600
2010-07-19,2848.520020,2848.620117,2818.850098,2820.679932,2820.679932,21938400
2010-07-20,2818.100098,2853.540039,2782.439941,2819.340088,2819.340088,40085000
2010-07-21,2819.340088,2881.959961,2819.340088,2873.110107,2873.110107,17642000
2010-07-22,2875.429932,2937.590088,2862.260010,2937.590088,2937.590088,22147800
2010-07-23,2937.590088,2946.149902,2918.080078,2918.080078,2918.080078,24558800
2010-07-26,2918.080078,2953.189941,2918.080078,2947.250000,2947.250000,26796000
2010-07-27,2947.250000,2979.729980,2929.899902,2943.830078,2943.830078,75271600
2010-07-28,2940.530029,2965.719971,2911.520020,2911.520020,2911.520020,23804400
2010-07-29,2911.520020,2961.610107,2907.500000,2910.750000,2910.750000,19782000
2010-07-30,2910.639893,2918.330078,2882.709961,2915.360107,2915.360107,26911000
2010-08-02,2914.899902,2963.639893,2911.439941,2962.550049,2962.550049,10796400
2010-08-03,2962.550049,2992.239990,2955.340088,2961.860107,2961.860107,28833800
2010-08-04,2961.790039,2963.699951,2917.239990,2963.340088,2963.340088,25128000
2010-08-05,2963.090088,2992.100098,2953.219971,2967.550049,2967.550049,25013800
2010-08-06,2967.739990,2982.219971,2931.530029,2933.929932,2933.929932,26412200
2010-08-09,2931.560059,2984.540039,2931.560059,2983.969971,2983.969971,17749200
2010-08-10,2983.969971,2984.510010,2943.330078,2959.250000,2959.250000,31277000
2010-08-11,2959.250000,2959.250000,2878.669922,2878.669922,2878.669922,24415400
2010-08-12,2877.719971,2891.550049,2850.929932,2864.360107,2864.360107,30714200
2010-08-13,2864.360107,2884.310059,2824.639893,2824.639893,2824.639893,14603000
2010-08-16,2824.639893,2835.510010,2799.729980,2813.570068,2813.570068,25387400
2010-08-17,2809.469971,2858.219971,2805.899902,2857.959961,2857.959961,16368400
2010-08-18,2858.340088,2878.209961,2844.939941,2854.830078,2854.830078,12077000
2010-08-19,2854.830078,2866.989990,2801.600098,2802.620117,2802.620117,11514000
2010-08-20,2799.679932,2804.729980,2755.659912,2756.120117,2756.120117,17685800
2010-08-23,2756.120117,2807.550049,2756.120117,2780.870117,2780.870117,15157800
2010-08-24,2780.870117,2781.610107,2614.909912,2620.120117,2620.120117,24708000
2010-08-25,2620.120117,2643.949951,2607.969971,2635.929932,2635.929932,23090800
2010-08-26,2637.050049,2665.179932,2637.050049,2661.739990,2661.739990,14225000
2010-08-27,2663.360107,2672.760010,2647.459961,2669.699951,2669.699951,16686000
2010-08-30,2669.989990,2683.879883,2663.959961,2668.330078,2668.330078,6563200
2010-08-31,2668.830078,2703.860107,2646.070068,2703.860107,2703.860107,33205400
2010-09-01,2693.110107,2760.729980,2690.629883,2760.729980,2760.729980,27405400
2010-09-02,2757.949951,2760.340088,2735.719971,2744.969971,2744.969971,27647400
2010-09-03,2737.919922,2812.139893,2737.919922,2799.899902,2799.899902,32234000
2010-09-06,2799.899902,2811.040039,2776.229980,2807.110107,2807.110107,13089000
2010-09-07,2805.830078,2810.929932,2774.750000,2782.639893,2782.639893,32609800
2010-09-08,2783.139893,2783.139893,2740.179932,2757.770020,2757.770020,54199200
2010-09-09,2758.179932,2798.179932,2749.610107,2780.600098,2780.600098,65281600
2010-09-10,2780.600098,2793.159912,2771.370117,2780.600098,2780.600098,24612600
2010-09-13,2781.090088,2820.510010,2781.090088,2815.479980,2815.479980,26630400
2010-09-14,2814.780029,2828.050049,2789.129883,2795.040039,2795.040039,22371400
2010-09-15,2794.870117,2809.669922,2779.719971,2796.959961,2796.959961,29905400
2010-09-16,2798.429932,2800.399902,2746.790039,2746.790039,2746.790039,25207400
2010-09-17,2777.639893,2794.370117,2702.800049,2706.649902,2706.649902,71798200
2010-09-20,2706.649902,2736.959961,2706.649902,2734.209961,2734.209961,23756800
2010-09-21,2734.209961,2767.570068,2726.280029,2750.100098,2750.100098,27232600
2010-09-22,2750.100098,2759.239990,2710.330078,2711.939941,2711.939941,33254200
2010-09-23,2711.939941,2722.979980,2665.219971,2685.489990,2685.489990,25079400
2010-09-24,2687.620117,2698.830078,2661.709961,2698.830078,2698.830078,34019600
2010-09-27,2698.830078,2719.100098,2682.939941,2682.939941,2682.939941,22066600
2010-09-28,2684.510010,2684.510010,2646.260010,2661.159912,2661.159912,45985200
2010-09-29,2661.159912,2682.050049,2641.239990,2657.080078,2657.080078,68606800
2010-09-30,2657.080078,2699.860107,2634.260010,2676.179932,2676.179932,104304900
2010-10-01,2675.439941,2694.709961,2662.030029,2662.030029,2662.030029,44742600
2010-10-04,2662.030029,2693.600098,2643.939941,2669.060059,2669.060059,23290600
2010-10-05,2668.090088,2710.669922,2668.090088,2710.669922,2710.669922,33019800
2010-10-06,2710.500000,2759.580078,2710.500000,2739.719971,2739.719971,51720000
2010-10-07,2737.379883,2743.520020,2719.770020,2719.770020,2719.770020,37672600
2010-10-08,2721.060059,2727.419922,2707.679932,2713.709961,2713.709961,28487600
2010-10-11,2713.709961,2737.030029,2713.709961,2723.129883,2723.129883,15227200
2010-10-12,2723.129883,2723.129883,2700.540039,2709.449951,2709.449951,29149000
2010-10-13,2708.600098,2739.860107,2703.600098,2729.060059,2729.060059,33956400
2010-10-14,2729.060059,2745.169922,2693.840088,2695.000000,2695.000000,24797400
2010-10-15,2695.000000,2703.590088,2674.840088,2682.360107,2682.360107,27241400
2010-10-18,2684.070068,2692.389893,2657.659912,2692.389893,2692.389893,21663000
2010-10-19,2692.770020,2702.149902,2673.760010,2675.729980,2675.729980,31144400
2010-10-20,2675.540039,2687.239990,2665.040039,2665.040039,2665.040039,17139000
2010-10-21,2665.570068,2748.300049,2665.570068,2748.300049,2748.300049,34978400
2010-10-22,2748.300049,2754.969971,2711.600098,2719.649902,2719.649902,13279400
2010-10-25,2719.649902,2731.129883,2708.290039,2713.080078,2713.080078,8433200
2010-10-26,2711.550049,2715.629883,2686.649902,2694.770020,2694.770020,13049600
2010-10-27,2694.770020,2694.770020,2675.070068,2686.260010,2686.260010,15583200
2010-10-28,2686.260010,2695.360107,2677.330078,2683.399902,2683.399902,21258000
2010-10-29,2683.649902,2697.389893,2665.209961,2684.250000,2684.250000,47752800
2010-11-01,2684.290039,2690.399902,2669.280029,2677.820068,2677.820068,36280400
2010-11-02,2676.989990,2695.100098,2657.679932,2694.239990,2694.239990,27080200
2010-11-03,2694.239990,2750.510010,2693.070068,2706.239990,2706.239990,24615000
2010-11-04,2706.040039,2770.090088,2706.040039,2756.409912,2756.409912,30712200
2010-11-05,2756.409912,2756.409912,2701.510010,2701.510010,2701.510010,46677600
2010-11-08,2701.510010,2728.699951,2681.939941,2721.320068,2721.320068,58688800
2010-11-09,2721.320068,2779.459961,2721.320068,2775.739990,2775.739990,39674000
2010-11-10,2775.679932,2780.169922,2715.620117,2715.620117,2715.620117,52220400
2010-11-11,2715.620117,2723.520020,2669.909912,2672.750000,2672.750000,50757800
2010-11-12,2672.750000,2688.709961,2645.649902,2675.729980,2675.729980,91763200
2010-11-15,2674.949951,2697.050049,2658.330078,2697.050049,2697.050049,49068800
2010-11-16,2697.050049,2697.070068,2651.800049,2651.800049,2651.800049,37215800
2010-11-17,2650.489990,2697.610107,2650.489990,2691.889893,2691.889893,101955400
2010-11-18,2691.600098,2775.350098,2691.600098,2775.350098,2775.350098,83911000
2010-11-19,2775.350098,2804.879883,2770.199951,2798.469971,2798.469971,54853400
2010-11-22,2798.469971,2824.919922,2756.010010,2756.729980,2756.729980,61326000
2010-11-23,2755.870117,2755.870117,2663.899902,2663.899902,2663.899902,121247200
2010-11-24,2662.870117,2688.629883,2640.939941,2686.100098,2686.100098,199578500
2010-11-25,2684.510010,2694.939941,2651.689941,2654.679932,2654.679932,37730000
2010-11-26,2654.679932,2667.570068,2624.050049,2666.770020,2666.770020,76381800
2010-11-29,2667.659912,2720.100098,2655.300049,2655.300049,2655.300049,71022000
2010-11-30,2651.959961,2665.909912,2634.889893,2646.000000,2646.000000,61299400
2010-12-01,2647.350098,2694.620117,2647.350098,2694.620117,2694.620117,33751800
2010-12-02,2694.620117,2751.959961,2694.209961,2751.959961,2751.959961,26598800
2010-12-03,2751.959961,2767.639893,2724.689941,2741.270020,2741.270020,17207200
2010-12-06,2741.270020,2762.520020,2733.800049,2752.500000,2752.500000,56918800
2010-12-07,2752.500000,2812.060059,2752.500000,2799.969971,2799.969971,55599800
2010-12-08,2799.750000,2837.010010,2789.270020,2817.889893,2817.889893,44798200
2010-12-09,2815.580078,2849.439941,2815.580078,2845.429932,2845.429932,41579400
2010-12-10,2845.429932,2859.060059,2830.739990,2831.830078,2831.830078,43326400
2010-12-13,2833.739990,2871.270020,2833.739990,2853.959961,2853.959961,34761600
2010-12-14,2853.459961,2860.620117,2838.479980,2838.479980,2838.479980,35811000
2010-12-15,2838.639893,2844.419922,2816.429932,2830.449951,2830.449951,29853800
2010-12-16,2830.449951,2845.909912,2815.010010,2839.320068,2839.320068,23044200
2010-12-17,2839.320068,2849.280029,2819.439941,2819.439941,2819.439941,28376400
2010-12-20,2819.439941,2860.300049,2815.270020,2834.729980,2834.729980,36483400
2010-12-21,2836.169922,2878.699951,2836.169922,2875.560059,2875.560059,20060200
2010-12-22,2876.459961,2886.520020,2860.439941,2885.439941,2885.439941,26691000
2010-12-23,2885.439941,2891.659912,2861.750000,2881.870117,2881.870117,16586400
2010-12-24,2882.570068,2886.770020,2873.540039,2876.699951,2876.699951,2921000
2010-12-29,2876.699951,2893.520020,2869.790039,2886.929932,2886.929932,12446200
2010-12-30,2887.050049,2903.379883,2873.830078,2878.159912,2878.159912,20225400
2010-12-31,null,null,null,null,null,null
2011-01-04,2885.100098,2926.489990,2885.100098,2885.919922,2885.919922,23840200
2011-01-05,2885.919922,2893.060059,2838.639893,2869.840088,2869.840088,19675000
2011-01-06,2874.290039,2883.810059,2854.580078,2865.830078,2865.830078,17312000
2011-01-07,2865.830078,2885.689941,2855.409912,2870.840088,2870.840088,23452000
2011-01-10,2870.310059,2872.300049,2855.530029,2864.389893,2864.389893,23499600
2011-01-11,2864.389893,2906.340088,2864.389893,2906.340088,2906.340088,27112600
2011-01-12,2907.899902,2934.239990,2907.899902,2934.229980,2934.229980,23457400
2011-01-13,2934.229980,2944.419922,2898.120117,2902.419922,2902.419922,24078800
2011-01-14,2903.360107,2934.399902,2903.360107,2919.810059,2919.810059,35818800
2011-01-17,2919.810059,2932.709961,2908.909912,2913.429932,2913.429932,20436800
2011-01-18,2913.429932,2939.110107,2913.429932,2932.189941,2932.189941,30311600
2011-01-19,2932.189941,2955.110107,2893.570068,2893.570068,2893.570068,28178600
2011-01-20,2893.570068,2895.750000,2825.949951,2825.949951,2825.949951,31810600
2011-01-21,2824.209961,2868.620117,2824.209961,2845.550049,2845.550049,24855000
2011-01-24,2845.550049,2893.370117,2845.550049,2893.370117,2893.370117,24006800
2011-01-25,2893.239990,2924.229980,2893.239990,2909.939941,2909.939941,27866000
2011-01-26,2909.939941,2940.459961,2909.939941,2935.209961,2935.209961,31682600
2011-01-27,2932.000000,2940.239990,2909.669922,2912.699951,2912.699951,31344600
2011-01-28,2911.719971,2920.709961,2882.600098,2890.669922,2890.669922,35901000
2011-01-31,2890.669922,2897.629883,2852.810059,2852.810059,2852.810059,26209200
2011-02-01,2852.810059,2927.610107,2852.810059,2927.610107,2927.610107,30897600
2011-02-02,2927.570068,2965.050049,2903.189941,2903.189941,2903.189941,28102000
2011-02-03,2903.189941,2937.770020,2899.300049,2937.770020,2937.770020,22119400
2011-02-04,2937.399902,2989.889893,2937.399902,2985.840088,2985.840088,36224800
2011-02-07,2985.840088,3032.090088,2985.840088,3011.810059,3011.810059,23009400
2011-02-08,3011.810059,3020.199951,2986.050049,2995.830078,2995.830078,18357800
2011-02-09,2995.830078,2995.830078,2941.850098,2941.850098,2941.850098,19685600
2011-02-10,2941.850098,2942.199951,2913.649902,2937.120117,2937.120117,52815400
2011-02-11,2937.120117,2979.620117,2937.120117,2972.070068,2972.070068,18347200
2011-02-14,2973.260010,3010.300049,2973.260010,2977.500000,2977.500000,14846800
2011-02-15,2977.949951,2989.120117,2969.790039,2979.219971,2979.219971,20522000
2011-02-16,2979.219971,2999.419922,2973.449951,2989.080078,2989.080078,17422200
2011-02-17,2988.340088,3004.760010,2961.370117,2964.959961,2964.959961,18704000
2011-02-18,2964.219971,3005.389893,2964.219971,3005.389893,3005.389893,18989600
2011-02-21,3005.800049,3005.800049,2956.590088,2956.590088,2956.590088,12070000
2011-02-22,2956.429932,2963.729980,2923.469971,2923.469971,2923.469971,21849400
2011-02-23,2923.469971,2947.540039,2907.669922,2907.669922,2907.669922,18623200
2011-02-24,2908.939941,2908.939941,2885.610107,2900.780029,2900.780029,21110400
2011-02-25,2900.780029,2954.949951,2900.780029,2943.350098,2943.350098,22242400
2011-02-28,2943.350098,3004.189941,2927.689941,2976.540039,2976.540039,27616600
2011-03-01,2976.540039,3010.659912,2935.820068,2959.159912,2959.159912,20908600
2011-03-02,2959.159912,2959.159912,2911.820068,2921.659912,2921.659912,20441600
2011-03-03,2918.050049,2939.580078,2917.120117,2930.429932,2930.429932,18363400
2011-03-04,2930.919922,2957.959961,2920.179932,2920.179932,2920.179932,23600400
2011-03-07,2919.810059,2930.379883,2904.770020,2925.949951,2925.949951,19691200
2011-03-08,2925.949951,2934.199951,2893.389893,2924.050049,2924.050049,18945800
2011-03-09,2901.040039,2913.889893,2890.090088,2894.879883,2894.879883,19089600
2011-03-10,2898.699951,2898.699951,2854.770020,2874.500000,2874.500000,20252200
2011-03-11,2874.500000,2874.500000,2835.629883,2844.889893,2844.889893,21527000
2011-03-14,2845.100098,2852.719971,2817.820068,2820.719971,2820.719971,14041600
2011-03-15,2820.389893,2820.389893,2716.489990,2746.709961,2746.709961,28097000
2011-03-16,2744.340088,2765.459961,2713.000000,2713.000000,2713.000000,20532800
2011-03-17,2713.000000,2792.610107,2713.000000,2792.610107,2792.610107,18874200
2011-03-18,2792.469971,2805.000000,2782.389893,2787.080078,2787.080078,45046600
2011-03-21,2787.080078,2823.939941,2787.080078,2823.939941,2823.939941,15997600
2011-03-22,2825.290039,2855.239990,2807.860107,2807.860107,2807.860107,16452600
2011-03-23,2807.620117,2824.860107,2803.330078,2813.280029,2813.280029,15591400
2011-03-24,2814.590088,2867.169922,2807.969971,2867.169922,2867.169922,20642400
2011-03-25,2867.169922,2891.149902,2867.169922,2881.669922,2881.669922,18669800
